alcaldia,colonia,clave_colonia,total_200801,total_200802
XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),13-062,9,9
XOCHIMILCO,SANTA MARIA TEPEPAN (PBLO),13-065,7,7
XOCHIMILCO,XALTOCAN (BARR),13-073,13,13
IZTACALCO,AMPLIACION RAMOS MILLAN,06-002,6,NA
IZTACALCO,TLACOTAL RAMOS MILLAN,06-036,6,6
IZTACALCO,PANTITLAN V,06-060,14,14
IZTACALCO,RAMOS MILLAN BRAMADERO I,06-061,7,7
IZTACALCO,RAMOS MILLAN BRAMADERO II,06-062,6,6
TLAHUAC,AGRICOLA METROPOLITANA,11-001,7,NA
TLAHUAC,LA DRAGA,11-014,13,10
TLAHUAC,MIGUEL HIDALGO,11-025,12,11
TLAHUAC,OJO DE AGUA,11-027,9,9
TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO),11-032,40,37
TLAHUAC,SAN JOSE,11-033,10,10
TLAHUAC,LA CONCHITA II,11-057,25,22
AZCAPOTZALCO,ARENAL,02-006,7,7
AZCAPOTZALCO,DEL GAS,02-015,7,7
AZCAPOTZALCO,FRANCISCO VILLA (U HAB),02-030,11,10
AZCAPOTZALCO,SAN  MIGUEL AMANTLA (PBLO),02-069,15,17
AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC (PBLO),02-081,13,15
AZCAPOTZALCO,TEZOZOMOC,02-102,18,21
ALVARO OBREGON,BARRIO NORTE,10-026,17,12
ALVARO OBREGON,BELLA VISTA,10-031,7,6
ALVARO OBREGON,COLINAS DEL SUR,10-044,6,6
ALVARO OBREGON,LOMAS DE CHAMONTOYA,10-130,7,8
ALVARO OBREGON,MERCED GOMEZ,10-151,9,10
ALVARO OBREGON,PILOTO (ADOLFO LOPEZ MATEOS),10-171,6,NA
ALVARO OBREGON,PRESIDENTES 2DA (AMPL),10-179,7,NA
ALVARO OBREGON,SAN BARTOLO AMEYALCO (PBLO),10-194,43,43
ALVARO OBREGON,OLIVAR DEL CONDE 1RA SECCION I,10-252,13,6
CUAUHTEMOC,ATLAMPA,15-004,6,6
CUAUHTEMOC,PAULINO NAVARRO,15-022,7,NA
CUAUHTEMOC,CENTRO I,15-037,26,NA
CUAUHTEMOC,DOCTORES I,15-045,18,19
CUAUHTEMOC,DOCTORES II,15-046,6,NA
CUAUHTEMOC,DOCTORES III,15-047,8,7
CUAUHTEMOC,GUERRERO III,15-052,7,8
CUAUHTEMOC,GUERRERO IV,15-053,7,6
CUAUHTEMOC,MORELOS I,15-056,12,11
CUAUHTEMOC,OBRERA II,15-063,6,NA
CUAUHTEMOC,ROMA NORTE I,15-068,7,7
CUAUHTEMOC,SANTA MARIA LA RIBERA II,15-076,11,9
IZTAPALAPA,ALVARO OBREGON_(FRACC),07-006,7,7
IZTAPALAPA,GUADALUPE DEL MORAL,07-088,6,NA
IZTAPALAPA,SAN ANTONIO (BARR),07-177,9,10
IZTAPALAPA,SANTA MARTHA ACATITLA,07-215,7,6
IZTAPALAPA,VICENTE GUERRERO SUPER MANZANA 6 (U HAB),07-247,10,9
IZTAPALAPA,CHINAMPAC DE JUAREZ II,07-263,7,NA
IZTAPALAPA,CONSEJO AGRARISTA MEXICANO I,07-264,9,NA
IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL  II,07-269,7,7
IZTAPALAPA,SAN MIGUEL TEOTONGO I,07-291,8,7
IZTAPALAPA,SANTA CRUZ MEYEHUALCO (U HAB) II,07-296,6,NA
IZTAPALAPA,VALLE DE SAN LORENZO I,07-303,7,7
CUAJIMALPA DE MORELOS,EL CONTADERO,04-015,9,8
CUAJIMALPA DE MORELOS,JESUS DEL MONTE,04-022,8,8
CUAJIMALPA DE MORELOS,LA PILA,04-023,6,11
CUAJIMALPA DE MORELOS,PALO ALTO (GRANJAS),04-038,10,9
CUAJIMALPA DE MORELOS,SAN PABLO CHIMALPA (PBLO),04-047,13,11
CUAJIMALPA DE MORELOS,TEPETONGO,04-050,NA,6
CUAJIMALPA DE MORELOS,SAN PEDRO CUAJIMALPA (PBLO),04-056,16,13
CUAJIMALPA DE MORELOS,SAN JOSE DE LOS CEDROS I,04-058,8,7
LA MAGDALENA CONTRERAS,BARRANCA SECA,08-002,12,13
LA MAGDALENA CONTRERAS,EL OCOTAL,08-009,9,9
LA MAGDALENA CONTRERAS,LAS CRUCES,08-027,12,10
LA MAGDALENA CONTRERAS,LOMAS DE SAN BERNABE,08-030,13,11
LA MAGDALENA CONTRERAS,PUEBLO NUEVO BAJO,08-039,17,15
LA MAGDALENA CONTRERAS,SAN BERNABE OCOTEPEC (PBLO),08-042,20,19
BENITO JUAREZ,NARVARTE I,14-060,6,NA
MIGUEL HIDALGO,ARGENTINA ANTIGUA,16-014,6,NA
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC,16-042,17,16
MIGUEL HIDALGO,TACUBA,16-077,6,6
MIGUEL HIDALGO,TLAXPANA,16-080,12,11
MIGUEL HIDALGO,ANAHUAC I,16-088,11,8
COYOACAN,DEL CARMEN,03-037,6,6
COYOACAN,PRADO CHURUBUSCO,03-094,7,7
COYOACAN,AJUSCO I,03-128,11,11
COYOACAN,AJUSCO II,03-129,31,28
COYOACAN,PEDREGAL DE SANTA URSULA II,03-136,12,12
COYOACAN,PEDREGAL DE SANTA URSULA III,03-137,25,21
COYOACAN,PEDREGAL DE STO DOMINGO IV,03-142,27,29
COYOACAN,PEDREGAL DE STO DOMINGO VI,03-144,13,13
COYOACAN,PEDREGAL DE STO DOMINGO VIII,03-146,14,12
COYOACAN,PEDREGAL DE STO DOMINGO IX,03-147,11,6
VENUSTIANO CARRANZA,ADOLFO LOPEZ MATEOS,17-002,11,13
VENUSTIANO CARRANZA,CUCHILLA PANTITLAN,17-016,7,8
VENUSTIANO CARRANZA,EL ARENAL 4A SECCION,17-021,15,13
VENUSTIANO CARRANZA,MOCTEZUMA 1A SECCION,17-042,8,8
VENUSTIANO CARRANZA,POPULAR RASTRO,17-050,9,9
VENUSTIANO CARRANZA,REVOLUCION,17-054,6,6
VENUSTIANO CARRANZA,VENUSTIANO CARRANZA (AMPL),17-063,7,7
VENUSTIANO CARRANZA,JARDIN BALBUENA III,17-078,6,NA
VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION I,17-079,13,13
VENUSTIANO CARRANZA,MORELOS I,17-083,25,23
GUSTAVO A. MADERO,JORGE NEGRETE,05-086,10,10
GUSTAVO A. MADERO,LOMAS DE CUAUTEPEC,05-115,6,6
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 3A SECCION (U HAB) I,05-159,6,6
GUSTAVO A. MADERO,TEPEYAC INSURGENTES,05-181,11,9
GUSTAVO A. MADERO,GABRIEL HERNANDEZ (AMPL) II,05-222,6,NA
GUSTAVO A. MADERO,MARTIN CARRERA I,05-227,7,6
GUSTAVO A. MADERO,MARTIN CARRERA II,05-228,10,9
GUSTAVO A. MADERO,NUEVA ATZACOALCO II,05-230,12,11
GUSTAVO A. MADERO,SAN FELIPE DE JESUS III,05-239,8,6
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 2A SECCION (U HAB) I,05-243,NA,6
TLALPAN,AMPLIACION MIGUEL HIDALGO 3A SECC,12-003,11,11
TLALPAN,BOSQUES DEL PEDREGAL,12-016,12,8
TLALPAN,FUENTES DEL PEDREGAL,12-049,6,NA
TLALPAN,LOS VOLCANES,12-089,8,8
TLALPAN,SAN LORENZO HUIPULCO,12-153,9,6
TLALPAN,SANTA URSULA XITLA,12-161,7,8
TLALPAN,TLALPAN CENTRO,12-177,NA,6
TLALPAN,TORRES DE PADIERNA,12-181,NA,6
TLALPAN,HEROES DE PADIERNA II,12-210,6,9
TLALPAN,PEDREGAL DE SN NICOLAS 4A SECC II,12-214,8,6
TLALPAN,EJIDOS DE SAN PEDRO MARTIR II (SUR),12-219,7,7
XOCHIMILCO,LA ASUNCION (BARR),13-017,8,8
