alcaldia,colonia,clave_colonia,total_200801
CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO (PBLO),04-046,16
LA MAGDALENA CONTRERAS,BARROS SIERRA,08-003,14
LA MAGDALENA CONTRERAS,CUAUHTEMOC,08-005,9
LA MAGDALENA CONTRERAS,EL ROSAL,08-010,13
LA MAGDALENA CONTRERAS,LA MAGDALENA ATLITIC (PBLO),08-024,6
LA MAGDALENA CONTRERAS,LA MALINCHE,08-025,35
LA MAGDALENA CONTRERAS,LOMAS DE SAN BERNABE (AMPL),08-031,8
LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),08-045,11
LA MAGDALENA CONTRERAS,TIERRA UNIDA,08-052,7
BENITO JUAREZ,SAN SIMON TICUMAC,14-044,11
BENITO JUAREZ,PORTALES I,14-066,8
MIGUEL HIDALGO,IGNACIO MANUEL ALTAMIRANO,16-034,6
MIGUEL HIDALGO,TORRE BLANCA,16-081,10
MIGUEL HIDALGO,ANAHUAC II,16-089,33
COYOACAN,EX HACIENDA COAPA,03-051,19
COYOACAN,LOS REYES (PBLO),03-078,12
COYOACAN,SAN FRANCISCO CULHUACAN (PBLO),03-101,8
COYOACAN,ADOLFO RUIZ CORTINES I,03-126,11
COYOACAN,ADOLFO RUIZ CORTINES II,03-127,7
VENUSTIANO CARRANZA,AQUILES SERDAN,17-005,9
VENUSTIANO CARRANZA,EL ARENAL 1A SECCION,17-018,6
VENUSTIANO CARRANZA,MERCED BALBUENA,17-038,13
VENUSTIANO CARRANZA,MICHOACANA (AMPL),17-040,7
VENUSTIANO CARRANZA,ROMERO RUBIO,17-055,12
VENUSTIANO CARRANZA,20 DE NOVIEMBRE,17-066,19
VENUSTIANO CARRANZA,CENTRO I,17-072,7
VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION II,17-080,14
VENUSTIANO CARRANZA,MORELOS II,17-084,20
