"","alcaldia","colonia","clave_colonia","total_210118","total_210119","total_210120","total_210121","total_210122","total_210123","total_210124"
"614","LA MAGDALENA CONTRERAS","SANTA TERESA","08-049",10,12,11,15,15,14,14
"615","LA MAGDALENA CONTRERAS","TIERRA COLORADA","08-051",23,21,22,21,18,17,17
"616","ALVARO OBREGON","LOMAS DE LOS CEDROS","10-135",28,29,31,32,36,31,38
"617","ALVARO OBREGON","TETELPAN","10-213",21,27,26,25,32,32,32
"618","ALVARO OBREGON","TLACUITLAPA 2DO REACOMODO (AMPL)","10-223",14,12,13,14,15,14,14
"619","TLAHUAC","LA ESTACION","11-015",16,20,23,26,26,30,27
"620","TLALPAN","FUENTES Y PEDREGAL DE TEPEPAN","12-048",17,19,19,16,17,16,16
"621","TLALPAN","RESIDENCIAL INSURGENTES SUR (U HAB)","12-139",NA,NA,NA,NA,NA,NA,NA
"622","TLALPAN","VISTAS DEL PEDREGAL","12-198",13,14,11,12,11,10,9
"623","XOCHIMILCO","SAN PEDRO (BARR)","13-057",19,18,18,17,14,14,14
"624","XOCHIMILCO","TEPEPAN (AMPL)","13-069",39,34,33,31,33,33,32
"625","CUAUHTEMOC","BUENOS AIRES","15-006",32,39,43,52,49,50,49
"626","CUAUHTEMOC","PERALVILLO I","15-066",20,21,21,24,27,26,26
"627","MIGUEL HIDALGO","OBSERVATORIO","16-058",10,7,10,11,11,10,10
"628","VENUSTIANO CARRANZA","NICOLAS BRAVO","17-045",7,8,7,6,7,6,9
"629","VENUSTIANO CARRANZA","VALLE GOMEZ","17-061",18,17,16,28,32,38,36
"630","COYOACAN","EL CARACOL","03-041",8,11,12,13,13,11,11
"631","CUAJIMALPA DE MORELOS","EL TIANGUILLO","04-018",10,12,13,14,18,18,16
"632","GUSTAVO A. MADERO","GUADALUPE TEPEYAC","05-074",25,27,34,42,44,43,42
"633","GUSTAVO A. MADERO","RESIDENCIAL ZACATENCO","05-146",11,16,14,17,16,20,19
"634","GUSTAVO A. MADERO","TABLAS DE SAN AGUSTIN","05-179",17,21,22,26,27,28,25
"635","GUSTAVO A. MADERO","LA ESMERALDA III","05-254",7,10,12,11,12,10,9
"636","ALVARO OBREGON","MIGUEL HIDALGO","10-154",15,14,14,13,11,8,NA
"637","ALVARO OBREGON","PUENTE COLORADO (AMPL)","10-185",21,21,25,23,23,23,22
"638","ALVARO OBREGON","REACOMODO EL CUERNITO","10-187",23,25,28,29,28,27,31
"639","ALVARO OBREGON","SAN ANGEL","10-192",16,16,18,20,18,16,16
"640","TLAHUAC","SAN JUAN IXTAYOPAN (PBLO)","11-034",60,69,76,73,68,60,60
"641","TLALPAN","CHIMILLI","12-022",12,15,17,19,16,16,14
"642","TLALPAN","TETENCO (PJE)","12-172",NA,NA,NA,NA,NA,NA,NA
"643","CUAUHTEMOC","ASTURIAS (AMPL)","15-003",18,21,21,20,21,20,19
"644","MIGUEL HIDALGO","ARGENTINA ANTIGUA","16-014",39,46,47,48,48,53,50
"645","VENUSTIANO CARRANZA","PUEBLA","17-053",32,35,29,31,34,35,34
"646","VENUSTIANO CARRANZA","JARDIN BALBUENA II","17-077",22,22,23,24,27,22,20
"647","GUSTAVO A. MADERO","C T M ARAGON (U)","05-014",25,22,25,24,28,35,33
"648","GUSTAVO A. MADERO","DM NACIONAL","05-040",27,30,30,28,26,26,24
"649","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 6A SECCION (U HAB) I","05-161",10,10,10,11,11,11,9
"650","IZTAPALAPA","HEROES DE CHURUBUSCO","07-091",32,30,30,32,34,32,32
"651","ALVARO OBREGON","TLACUITLAPA","10-222",26,25,23,20,21,22,22
"652","TLAHUAC","VILLA CENTROAMERICANA (U HAB)","11-052",38,40,40,42,39,37,30
"653","CUAUHTEMOC","BUENAVISTA I","15-035",27,32,34,36,37,37,34
"654","VENUSTIANO CARRANZA","EL PARQUE","17-023",7,9,10,10,12,13,13
"655","VENUSTIANO CARRANZA","POPULAR RASTRO","17-050",10,11,13,17,18,18,15
"656","VENUSTIANO CARRANZA","VALENTIN GOMEZ FARIAS","17-060",26,29,27,26,23,28,25
"657","GUSTAVO A. MADERO","JUAN GONZALEZ ROMERO","05-091",23,28,37,43,48,50,49
"658","GUSTAVO A. MADERO","SAN PEDRO ZACATENCO (PBLO)","05-168",33,32,32,29,34,39,38
"659","IZTACALCO","INFONAVIT IZTACALCO (U HAB) I","06-052",33,32,39,43,38,45,42
"660","MIGUEL HIDALGO","AMERICA","16-003",17,16,19,30,31,28,28
"661","VENUSTIANO CARRANZA","EL ARENAL 2A SECCION","17-019",NA,NA,NA,6,6,NA,NA
"662","AZCAPOTZALCO","MIGUEL HIDALGO (U HAB)","02-047",18,14,15,10,11,11,11
"663","AZCAPOTZALCO","OBRERO POPULAR","02-054",26,26,29,30,32,34,32
"664","COYOACAN","AVANTE","03-008",27,28,28,30,35,33,34
"665","COYOACAN","COPILCO EL BAJO","03-023",12,11,NA,NA,NA,6,NA
"666","COYOACAN","CTM VIII CULHUACAN (U HAB)","03-033",39,45,47,52,54,51,46
"667","IZTAPALAPA","RENOVACION","07-171",37,34,35,41,41,37,40
"668","IZTAPALAPA","SANTA MARIA AZTAHUACAN (EJ) II","07-298",39,41,41,38,41,46,45
"669","IZTAPALAPA","XALPA III","07-307",28,32,32,32,36,34,33
"670","TLAHUAC","SANTA CATARINA YECAHUIZOTL (PBLO)","11-040",29,32,35,35,32,33,31
"671","TLALPAN","ISIDRO  FABELA (AMPL)","12-061",6,7,9,8,8,7,8
"672","TLALPAN","LA TORTUGA XOLALPA-HCO COLEGIO MILITAR","12-077",11,10,12,8,7,6,8
"673","TLALPAN","TLALMILLE","12-176",NA,NA,NA,6,7,9,10
"674","MIGUEL HIDALGO","LEGARIA","16-036",30,40,37,37,38,35,35
"675","GUSTAVO A. MADERO","EL CARMEN","05-049",25,23,26,27,34,37,33
"676","GUSTAVO A. MADERO","MALACATES (AMPL)","05-121",17,18,20,22,21,24,25
"677","GUSTAVO A. MADERO","VILLA DE ARAGON (FRACC)","05-198",14,16,13,14,15,13,9
"678","GUSTAVO A. MADERO","PROVIDENCIA I","05-234",31,34,38,41,43,45,39
"679","IZTAPALAPA","SANTA CRUZ MEYEHUALCO (U HAB) I","07-295",29,29,34,41,45,44,41
"680","LA MAGDALENA CONTRERAS","LA GUADALUPE","08-023",7,7,7,11,13,13,15
"681","BENITO JUAREZ","ALAMOS II","14-052",19,17,17,18,19,20,19
"682","BENITO JUAREZ","DEL VALLE VII","14-059",15,16,16,17,16,13,10
"683","CUAUHTEMOC","SAN RAFAEL I","15-073",33,38,35,31,30,32,28
"684","VENUSTIANO CARRANZA","PENSADOR MEXICANO II","17-086",9,13,13,19,21,22,20
"685","IZTAPALAPA","SAN IGNACIO (BARR)","07-180",22,21,22,23,24,22,21
"686","IZTAPALAPA","LOMAS DE LA ESTANCIA II","07-282",24,26,29,32,32,37,35
"687","LA MAGDALENA CONTRERAS","INDEPENDENCIA BATAN SUR (U HAB)","08-016",NA,NA,NA,NA,NA,NA,NA
"688","ALVARO OBREGON","TLACOYAQUE","10-219",NA,8,11,9,11,13,14
"689","TLAHUAC","JAIME TORRES BODET","11-012",42,43,49,56,55,56,51
